Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;508;-;-;508;-;-
Wählende;326;64,2 %;+49;326;64,2 %;+49
Ungültige Stimmen;8;2,5 %;+11;1;0,3 %;-14
Gültige Stimmen;318;97,5 %;-11;325;99,7 %;+14
SPD;109;34,3 %;+124;92;28,3 %;+74
AfD;137;43,1 %;+66;124;38,2 %;+09
CDU;34;10,7 %;-39;26;8,0 %;-63
GRÜNE/B 90;7;2,2 %;-68;16;4,9 %;-52
DIE LINKE;17;5,3 %;-51;12;3,7 %;-57
BVB / FREIE WÄHLER;9;2,8 %;-27;3;0,9 %;-22
FDP;1;0,3 %;-18;0;0,0 %;-17
Tierschutzpartei;-;-;-;6;1,8 %;-06
Plus;-;-;-;1;0,3 %;-04
BSW;-;-;-;44;13,5 %;+135
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;4;1,3 %;+13;0;0,0 %;00
WU;-;-;-;1;0,3 %;+03
