Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.538;-;-;1.538;-;-
Wählende;889;57,8 %;+51;889.0;57,8 %;+51
Ungültige Stimmen;9;1,0 %;-10;5.0;0,6 %;-13
Gültige Stimmen;880;99,0 %;+10;884.0;99,4 %;+13
SPD;298;33,9 %;+89;261.0;29,5 %;+52
AfD;376;42,7 %;+93;348.0;39,4 %;+56
CDU;105;11,9 %;-13;93.0;10,5 %;-34
GRÜNE/B 90;16;1,8 %;-80;29.0;3,3 %;-41
DIE LINKE;30;3,4 %;-60;19.0;2,1 %;-78
BVB / FREIE WÄHLER;40;4,5 %;-07;17.0;1,9 %;-15
FDP;5;0,6 %;-33;7.0;0,8 %;-31
Tierschutzpartei;-;-;-;11.0;1,2 %;-09
Plus;-;-;-;4.0;0,5 %;-04
BSW;-;-;-;89.0;10,1 %;+101
III. Weg;-;-;-;1.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;10;1,1 %;+11;3.0;0,3 %;+03
WU;-;-;-;2.0;0,2 %;+02
