Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;6.698;-;-;6.698;-;-
Wählende;5.414;80,8 %;+92;5.414;80,8 %;+92
Ungültige Stimmen;46;0,8 %;-00;25.0;0,5 %;-02
Gültige Stimmen;5.368;99,2 %;+00;5.389;99,5 %;+02
SPD;2.107;39,3 %;+168;1.875;34,8 %;+97
AfD;1.252;23,3 %;+56;1.131;21,0 %;+33
CDU;936;17,4 %;-29;758.0;14,1 %;-11
GRÜNE/B 90;301;5,6 %;-120;385.0;7,1 %;-116
DIE LINKE;231;4,3 %;-52;158.0;2,9 %;-65
BVB / FREIE WÄHLER;304;5,7 %;+01;79.0;1,5 %;-21
FDP;77;1,4 %;-22;67.0;1,2 %;-33
Tierschutzpartei;-;-;-;121.0;2,2 %;-17
Plus;160;3,0 %;+20;94.0;1,7 %;+02
BSW;-;-;-;679.0;12,6 %;+126
III. Weg;-;-;-;14.0;0,3 %;+03
DKP;-;-;-;4.0;0,1 %;+01
DLW;-;-;-;13.0;0,2 %;+02
WU;-;-;-;11.0;0,2 %;+02
