Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;15.478;-;-;15.478;-;-
Wählende;9.774;63,1 %;+149;9.774;63,1 %;+149
Ungültige Stimmen;175;1,8 %;+07;101.0;1,0 %;-02
Gültige Stimmen;9.599;98,2 %;-07;9.673;99,0 %;+02
SPD;2.852;29,7 %;+36;2.475;25,6 %;+02
AfD;4.084;42,5 %;+151;3.649;37,7 %;+95
CDU;1.352;14,1 %;-66;1.178;12,2 %;-67
GRÜNE/B 90;77;0,8 %;-40;105.0;1,1 %;-43
DIE LINKE;551;5,7 %;-68;265.0;2,7 %;-91
BVB / FREIE WÄHLER;503;5,2 %;-08;157.0;1,6 %;-31
FDP;134;1,4 %;-10;64.0;0,7 %;-20
Tierschutzpartei;-;-;-;155.0;1,6 %;-04
Plus;-;-;-;56.0;0,6 %;-01
BSW;-;-;-;1.489;15,4 %;+154
III. Weg;46;0,5 %;+05;20.0;0,2 %;+02
DKP;-;-;-;3.0;0,0 %;+00
DLW;-;-;-;45.0;0,5 %;+05
WU;-;-;-;12.0;0,1 %;+01
