Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.407;-;-;1.407;-;-
Wählende;784;55,7 %;+89;784.0;55,7 %;+89
Ungültige Stimmen;16;2,0 %;-09;10.0;1,3 %;-11
Gültige Stimmen;768;98,0 %;+09;774.0;98,7 %;+11
SPD;199;25,9 %;-73;180.0;23,3 %;-55
AfD;385;50,1 %;+152;345.0;44,6 %;+102
CDU;87;11,3 %;-45;72.0;9,3 %;-75
GRÜNE/B 90;5;0,7 %;-08;5.0;0,6 %;-14
DIE LINKE;18;2,3 %;-45;11.0;1,4 %;-65
BVB / FREIE WÄHLER;61;7,9 %;+32;23.0;3,0 %;-19
FDP;5;0,7 %;-22;1.0;0,1 %;-21
Tierschutzpartei;-;-;-;12.0;1,6 %;-02
Plus;-;-;-;0.0;0,0 %;-09
BSW;-;-;-;107.0;13,8 %;+138
III. Weg;8;1,0 %;+10;5.0;0,6 %;+06
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;12.0;1,6 %;+16
WU;-;-;-;1.0;0,1 %;+01
