Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;514;-;-;514;-;-
Wählende;280;54,5 %;+13;280;54,5 %;+13
Ungültige Stimmen;7;2,5 %;+11;7;2,5 %;+14
Gültige Stimmen;273;97,5 %;-11;273;97,5 %;-14
SPD;90;33,0 %;-05;72;26,4 %;-37
AfD;109;39,9 %;+120;101;37,0 %;+66
CDU;35;12,8 %;-81;36;13,2 %;-95
GRÜNE/B 90;9;3,3 %;-07;7;2,6 %;-11
DIE LINKE;10;3,7 %;-26;5;1,8 %;-29
BVB / FREIE WÄHLER;16;5,9 %;+11;9;3,3 %;-04
FDP;4;1,5 %;-11;2;0,7 %;-15
Tierschutzpartei;-;-;-;3;1,1 %;+04
Plus;-;-;-;1;0,4 %;-11
BSW;-;-;-;33;12,1 %;+121
III. Weg;0;0,0 %;00;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;4;1,5 %;+15
WU;-;-;-;0;0,0 %;00
