Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;11.828;-;-;11.828;-;-
Wählende;9.286;78,5 %;+153;9.286;78,5 %;+153
Ungültige Stimmen;105;1,1 %;-08;51.0;0,5 %;-09
Gültige Stimmen;9.181;98,9 %;+08;9.235;99,5 %;+09
SPD;2.353;25,6 %;+28;2.377;25,7 %;+26
AfD;3.218;35,1 %;+119;2.847;30,8 %;+69
CDU;1.677;18,3 %;-11;1.23;13,3 %;-38
GRÜNE/B 90;194;2,1 %;-63;207.0;2,2 %;-66
DIE LINKE;520;5,7 %;-76;233.0;2,5 %;-106
BVB / FREIE WÄHLER;1.135;12,4 %;+39;393.0;4,3 %;-34
FDP;84;0,9 %;-20;64.0;0,7 %;-22
Tierschutzpartei;-;-;-;157.0;1,7 %;-07
Plus;-;-;-;69.0;0,7 %;-00
BSW;-;-;-;1.598;17,3 %;+173
III. Weg;-;-;-;7.0;0,1 %;+01
DKP;-;-;-;7.0;0,1 %;+01
DLW;-;-;-;33.0;0,4 %;+04
WU;-;-;-;13.0;0,1 %;+01
