Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.218;-;-;2.218;-;-
Wählende;1.131;51,0 %;+16;1.131;51,0 %;+16
Ungültige Stimmen;12;1,1 %;+02;10.0;0,9 %;+01
Gültige Stimmen;1.119;98,9 %;-02;1.121;99,1 %;-01
SPD;365;32,6 %;+78;331.0;29,5 %;+35
AfD;371;33,2 %;+130;350.0;31,2 %;+103
CDU;222;19,8 %;-16;142.0;12,7 %;-76
GRÜNE/B 90;18;1,6 %;-85;38.0;3,4 %;-84
DIE LINKE;55;4,9 %;-51;28.0;2,5 %;-64
BVB / FREIE WÄHLER;68;6,1 %;-26;13.0;1,2 %;-23
FDP;20;1,8 %;-26;9.0;0,8 %;-41
Tierschutzpartei;-;-;-;15.0;1,3 %;-10
Plus;-;-;-;5.0;0,4 %;-07
BSW;-;-;-;187.0;16,7 %;+167
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;3.0;0,3 %;+03
WU;-;-;-;0.0;0,0 %;00
