Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.709;-;-;2.709;-;-
Wählende;1.505;55,6 %;+55;1.505;55,6 %;+55
Ungültige Stimmen;23;1,5 %;-00;15.0;1,0 %;-01
Gültige Stimmen;1.482;98,5 %;+00;1.49;99,0 %;+01
SPD;438;29,6 %;+65;447.0;30,0 %;+59
AfD;591;39,9 %;+125;530.0;35,6 %;+78
CDU;246;16,6 %;-22;167.0;11,2 %;-57
GRÜNE/B 90;8;0,5 %;-73;21.0;1,4 %;-67
DIE LINKE;44;3,0 %;-74;27.0;1,8 %;-73
BVB / FREIE WÄHLER;76;5,1 %;-16;26.0;1,7 %;-28
FDP;79;5,3 %;+05;13.0;0,9 %;-39
Tierschutzpartei;-;-;-;29.0;1,9 %;-12
Plus;-;-;-;3.0;0,2 %;-11
BSW;-;-;-;217.0;14,6 %;+146
III. Weg;-;-;-;1.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;7.0;0,5 %;+05
WU;-;-;-;2.0;0,1 %;+01
