Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;22.007;-;-;22.007;-;-
Wählende;17.076;77,6 %;+112;17.076;77,6 %;+112
Ungültige Stimmen;193;1,1 %;-00;105;0,6 %;-04
Gültige Stimmen;16.883;98,9 %;+00;16.971;99,4 %;+04
SPD;6.354;37,6 %;+133;5.537;32,6 %;+78
AfD;4.304;25,5 %;+77;3.927;23,1 %;+43
CDU;3.253;19,3 %;-44;2.504;14,8 %;-46
GRÜNE/B 90;632;3,7 %;-89;1.183;7,0 %;-73
DIE LINKE;695;4,1 %;-66;492;2,9 %;-67
BVB / FREIE WÄHLER;859;5,1 %;-13;390;2,3 %;-21
FDP;310;1,8 %;-17;188;1,1 %;-35
Tierschutzpartei;-;-;-;306;1,8 %;-06
Plus;321;1,9 %;+19;233;1,4 %;-01
BSW;-;-;-;2.089;12,3 %;+123
III. Weg;-;-;-;13;0,1 %;+01
DKP;-;-;-;11;0,1 %;+01
DLW;-;-;-;40;0,2 %;+02
WU;-;-;-;58;0,3 %;+03
EB Müller;155;0,9 %;+00;-;-;-
