Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;7.846;-;-;7.846;-;-
Wählende;6.561;83,6 %;+74;6.561;83,6 %;+74
Ungültige Stimmen;79;1,2 %;+02;37.0;0,6 %;-02
Gültige Stimmen;6.482;98,8 %;-02;6.524;99,4 %;+02
SPD;2.652;40,9 %;+129;2.318;35,5 %;+82
AfD;1.413;21,8 %;+51;1.229;18,8 %;+16
CDU;1.060;16,4 %;+07;907.0;13,9 %;-11
GRÜNE/B 90;351;5,4 %;-92;511.0;7,8 %;-75
DIE LINKE;342;5,3 %;-84;244.0;3,7 %;-79
BVB / FREIE WÄHLER;322;5,0 %;-14;128.0;2,0 %;-22
FDP;103;1,6 %;-33;69.0;1,1 %;-39
Tierschutzpartei;-;-;-;119.0;1,8 %;-06
Plus;239;3,7 %;+37;91.0;1,4 %;-02
BSW;-;-;-;875.0;13,4 %;+134
III. Weg;-;-;-;2.0;0,0 %;+00
DKP;-;-;-;5.0;0,1 %;+01
DLW;-;-;-;19.0;0,3 %;+03
WU;-;-;-;7.0;0,1 %;+01
