Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;12.837;-;-;12.837;-;-
Wählende;10.302;80,3 %;+95;10.302;80,3 %;+95
Ungültige Stimmen;97;0,9 %;+01;52.0;0,5 %;-02
Gültige Stimmen;10.205;99,1 %;-01;10.25;99,5 %;+02
SPD;3.719;36,4 %;+112;3.703;36,1 %;+117
AfD;2.109;20,7 %;+55;1.984;19,4 %;+34
CDU;1.848;18,1 %;+05;1.747;17,0 %;+02
GRÜNE/B 90;521;5,1 %;-137;734.0;7,2 %;-114
DIE LINKE;297;2,9 %;-46;234.0;2,3 %;-46
BVB / FREIE WÄHLER;1.280;12,5 %;+45;342.0;3,3 %;-23
FDP;249;2,4 %;-52;182.0;1,8 %;-54
Tierschutzpartei;-;-;-;183.0;1,8 %;-08
Plus;182;1,8 %;+18;118.0;1,2 %;-05
BSW;-;-;-;968.0;9,4 %;+94
III. Weg;-;-;-;3.0;0,0 %;+00
DKP;-;-;-;4.0;0,0 %;+00
DLW;-;-;-;17.0;0,2 %;+02
WU;-;-;-;31.0;0,3 %;+03
