Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;53.688;-;-;53.688;-;-
Wählende;44.807;83,5 %;+76;44.807;83,5 %;+76
Ungültige Stimmen;369;0,8 %;+01;159.0;0,4 %;-02
Gültige Stimmen;44.438;99,2 %;-01;44.648;99,6 %;+02
SPD;15.281;34,4 %;+77;16.689;37,4 %;+124
AfD;5.171;11,6 %;+26;4.756;10,7 %;+13
CDU;5.099;11,5 %;-14;4.888;10,9 %;-07
GRÜNE/B 90;11.799;26,6 %;-05;7.599;17,0 %;-121
DIE LINKE;3.633;8,2 %;-71;3.292;7,4 %;-61
BVB / FREIE WÄHLER;1.344;3,0 %;+05;518.0;1,2 %;-07
FDP;848;1,9 %;-19;590.0;1,3 %;-37
Tierschutzpartei;1.263;2,8 %;+28;754.0;1,7 %;-04
Plus;-;-;-;924.0;2,1 %;+01
BSW;-;-;-;4.443;10,0 %;+100
III. Weg;-;-;-;14.0;0,0 %;+00
DKP;-;-;-;39.0;0,1 %;+01
DLW;-;-;-;64.0;0,1 %;+01
WU;-;-;-;78.0;0,2 %;+02
