Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;22.452;-;-;22.452;-;-
Wählende;15.902;70,8 %;+125;15.902;70,8 %;+125
Ungültige Stimmen;209;1,3 %;+01;124.0;0,8 %;-03
Gültige Stimmen;15.693;98,7 %;-01;15.778;99,2 %;+03
SPD;6.471;41,2 %;+95;5.715;36,2 %;+48
AfD;4.008;25,5 %;+69;3.646;23,1 %;+39
CDU;2.538;16,2 %;+07;1.955;12,4 %;-14
GRÜNE/B 90;391;2,5 %;-74;616.0;3,9 %;-68
DIE LINKE;708;4,5 %;-61;416.0;2,6 %;-73
BVB / FREIE WÄHLER;1.344;8,6 %;-16;460.0;2,9 %;-31
FDP;233;1,5 %;-20;159.0;1,0 %;-29
Tierschutzpartei;-;-;-;446.0;2,8 %;-03
Plus;-;-;-;153.0;1,0 %;-06
BSW;-;-;-;2.064;13,1 %;+131
III. Weg;-;-;-;19.0;0,1 %;+01
DKP;-;-;-;8.0;0,1 %;+01
DLW;-;-;-;58.0;0,4 %;+04
WU;-;-;-;63.0;0,4 %;+04
