Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;5.400;-;-;5.4;-;-
Wählende;4.252;78,7 %;+91;4.252;78,7 %;+91
Ungültige Stimmen;62;1,5 %;-01;31.0;0,7 %;-05
Gültige Stimmen;4.190;98,5 %;+01;4.221;99,3 %;+05
SPD;1.360;32,5 %;+93;1.29;30,6 %;+58
AfD;1.421;33,9 %;+77;1.288;30,5 %;+41
CDU;750;17,9 %;-20;505.0;12,0 %;-52
GRÜNE/B 90;68;1,6 %;-67;105.0;2,5 %;-50
DIE LINKE;200;4,8 %;-55;93.0;2,2 %;-77
BVB / FREIE WÄHLER;332;7,9 %;+03;107.0;2,5 %;-21
FDP;59;1,4 %;-30;30.0;0,7 %;-38
Tierschutzpartei;-;-;-;88.0;2,1 %;-13
Plus;-;-;-;30.0;0,7 %;-09
BSW;-;-;-;621.0;14,7 %;+147
III. Weg;-;-;-;9.0;0,2 %;+02
DKP;-;-;-;4.0;0,1 %;+01
DLW;-;-;-;40.0;0,9 %;+09
WU;-;-;-;11.0;0,3 %;+03
