Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;3.510;-;-;3.51;-;-
Wählende;2.642;75,3 %;+118;2.642;75,3 %;+118
Ungültige Stimmen;36;1,4 %;-01;17.0;0,6 %;-06
Gültige Stimmen;2.606;98,6 %;+01;2.625;99,4 %;+06
SPD;922;35,4 %;+94;805.0;30,7 %;+20
AfD;982;37,7 %;+97;877.0;33,4 %;+61
CDU;371;14,2 %;+03;284.0;10,8 %;-28
GRÜNE/B 90;45;1,7 %;-75;65.0;2,5 %;-66
DIE LINKE;119;4,6 %;-80;67.0;2,6 %;-69
BVB / FREIE WÄHLER;146;5,6 %;-17;56.0;2,1 %;-34
FDP;21;0,8 %;-23;12.0;0,5 %;-25
Tierschutzpartei;-;-;-;58.0;2,2 %;-04
Plus;-;-;-;12.0;0,5 %;-04
BSW;-;-;-;371.0;14,1 %;+141
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;2.0;0,1 %;+01
DLW;-;-;-;13.0;0,5 %;+05
WU;-;-;-;3.0;0,1 %;+01
