Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;19.649;-;-;19.649;-;-
Wählende;12.756;64,9 %;+134;12.756;64,9 %;+134
Ungültige Stimmen;240;1,9 %;+03;166;1,3 %;-03
Gültige Stimmen;12.516;98,1 %;-03;12.590;98,7 %;+03
SPD;3.851;30,8 %;+59;3.754;29,8 %;+20
AfD;5.070;40,5 %;+122;4.597;36,5 %;+65
CDU;1.389;11,1 %;-67;1.067;8,5 %;-44
GRÜNE/B 90;141;1,1 %;-38;145;1,2 %;-35
DIE LINKE;591;4,7 %;-98;309;2,5 %;-92
BVB / FREIE WÄHLER;782;6,2 %;-09;286;2,3 %;-28
FDP;138;1,1 %;-13;76;0,6 %;-26
Tierschutzpartei;-;-;-;244;1,9 %;-11
Plus;164;1,3 %;+13;70;0,6 %;-09
BSW;-;-;-;1.924;15,3 %;+153
III. Weg;-;-;-;21;0,2 %;+02
DKP;-;-;-;10;0,1 %;+01
DLW;-;-;-;46;0,4 %;+04
WU;-;-;-;41;0,3 %;+03
EB Gliese;390;3,1 %;+31;-;-;-
