Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;476;-;-;476;-;-
Wählende;310;65,1 %;+29;310;65,1 %;+29
Ungültige Stimmen;1;0,3 %;-07;3;1,0 %;+03
Gültige Stimmen;309;99,7 %;+07;307;99,0 %;-03
SPD;79;25,6 %;+18;77;25,1 %;+11
AfD;159;51,5 %;+198;138;45,0 %;+91
CDU;26;8,4 %;-64;19;6,2 %;-43
GRÜNE/B 90;2;0,6 %;-40;3;1,0 %;-36
DIE LINKE;8;2,6 %;-80;2;0,7 %;-89
BVB / FREIE WÄHLER;26;8,4 %;-31;20;6,5 %;-20
FDP;1;0,3 %;-26;0;0,0 %;-26
Tierschutzpartei;-;-;-;8;2,6 %;+06
Plus;3;1,0 %;+10;0;0,0 %;-20
BSW;-;-;-;39;12,7 %;+127
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;1;0,3 %;+03
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
EB Gliese;5;1,6 %;+16;-;-;-
