Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;432;-;-;432;-;-
Wählende;280;64,8 %;+42;280;64,8 %;+42
Ungültige Stimmen;10;3,6 %;-01;11;3,9 %;+06
Gültige Stimmen;270;96,4 %;+01;269;96,1 %;-06
SPD;74;27,4 %;+139;83;30,9 %;+93
AfD;110;40,7 %;+126;103;38,3 %;+71
CDU;34;12,6 %;-229;21;7,8 %;-133
GRÜNE/B 90;3;1,1 %;-31;4;1,5 %;-27
DIE LINKE;5;1,9 %;-59;2;0,7 %;-77
BVB / FREIE WÄHLER;17;6,3 %;-18;9;3,3 %;-20
FDP;3;1,1 %;-16;0;0,0 %;-35
Tierschutzpartei;-;-;-;7;2,6 %;-12
Plus;2;0,7 %;+07;0;0,0 %;-04
BSW;-;-;-;35;13,0 %;+130
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,4 %;+04
WU;-;-;-;4;1,5 %;+15
EB Gliese;22;8,1 %;+81;-;-;-
