Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.460;-;-;2.46;-;-
Wählende;1.288;52,4 %;+44;1.288;52,4 %;+44
Ungültige Stimmen;11;0,9 %;-06;9.0;0,7 %;-05
Gültige Stimmen;1.277;99,1 %;+06;1.279;99,3 %;+05
SPD;381;29,8 %;+45;340.0;26,6 %;+17
AfD;534;41,8 %;+114;494.0;38,6 %;+78
CDU;156;12,2 %;-41;123.0;9,6 %;-59
GRÜNE/B 90;20;1,6 %;-44;33.0;2,6 %;-34
DIE LINKE;43;3,4 %;-73;21.0;1,6 %;-69
BVB / FREIE WÄHLER;94;7,4 %;-05;43.0;3,4 %;-23
FDP;13;1,0 %;-25;2.0;0,2 %;-42
Tierschutzpartei;-;-;-;23.0;1,8 %;-09
Plus;-;-;-;10.0;0,8 %;-05
BSW;-;-;-;168.0;13,1 %;+131
III. Weg;-;-;-;3.0;0,2 %;+02
DKP;-;-;-;0.0;0,0 %;00
DLW;36;2,8 %;+28;17.0;1,3 %;+13
WU;-;-;-;2.0;0,2 %;+02
