Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;4.289;-;-;4.289;-;-
Wählende;2.969;69,2 %;+142;2.969;69,2 %;+142
Ungültige Stimmen;48;1,6 %;+03;29.0;1,0 %;-02
Gültige Stimmen;2.921;98,4 %;-03;2.94;99,0 %;+02
SPD;774;26,5 %;+09;839.0;28,5 %;+23
AfD;1.101;37,7 %;+109;1.024;34,8 %;+67
CDU;477;16,3 %;+13;266.0;9,0 %;-47
GRÜNE/B 90;40;1,4 %;-36;29.0;1,0 %;-43
DIE LINKE;206;7,1 %;-123;99.0;3,4 %;-116
BVB / FREIE WÄHLER;295;10,1 %;+46;84.0;2,9 %;-23
FDP;28;1,0 %;-19;11.0;0,4 %;-28
Tierschutzpartei;-;-;-;51.0;1,7 %;-07
Plus;-;-;-;10.0;0,3 %;-04
BSW;-;-;-;506.0;17,2 %;+172
III. Weg;-;-;-;3.0;0,1 %;+01
DKP;-;-;-;3.0;0,1 %;+01
DLW;-;-;-;10.0;0,3 %;+03
WU;-;-;-;5.0;0,2 %;+02
