Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;367;-;-;367;-;-
Wählende;206;56,1 %;+57;206;56,1 %;+57
Ungültige Stimmen;2;1,0 %;-06;1;0,5 %;-11
Gültige Stimmen;204;99,0 %;+06;205;99,5 %;+11
SPD;47;23,0 %;+16;58;28,3 %;+42
AfD;95;46,6 %;+246;86;42,0 %;+173
CDU;33;16,2 %;-06;13;6,3 %;-115
GRÜNE/B 90;0;0,0 %;-31;0;0,0 %;-47
DIE LINKE;12;5,9 %;-208;3;1,5 %;-158
BVB / FREIE WÄHLER;15;7,4 %;+11;8;3,9 %;+02
FDP;2;1,0 %;-27;0;0,0 %;-42
Tierschutzpartei;-;-;-;6;2,9 %;-07
Plus;-;-;-;1;0,5 %;+05
BSW;-;-;-;28;13,7 %;+137
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,5 %;+05
WU;-;-;-;1;0,5 %;+05
