Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;592;-;-;592;-;-
Wählende;325;54,9 %;+57;325;54,9 %;+57
Ungültige Stimmen;5;1,5 %;+02;3;0,9 %;-01
Gültige Stimmen;320;98,5 %;-02;322;99,1 %;+01
SPD;74;23,1 %;+21;72;22,4 %;-06
AfD;169;52,8 %;+255;145;45,0 %;+161
CDU;28;8,8 %;-101;23;7,1 %;-103
GRÜNE/B 90;3;0,9 %;-71;6;1,9 %;-23
DIE LINKE;17;5,3 %;-55;7;2,2 %;-83
BVB / FREIE WÄHLER;26;8,1 %;-13;9;2,8 %;-35
FDP;3;0,9 %;-36;2;0,6 %;-53
Tierschutzpartei;-;-;-;7;2,2 %;-03
Plus;-;-;-;0;0,0 %;-14
BSW;-;-;-;49;15,2 %;+152
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,3 %;+03
WU;-;-;-;1;0,3 %;+03
