Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;533;-;-;533;-;-
Wählende;328;61,5 %;+53;328;61,5 %;+53
Ungültige Stimmen;3;0,9 %;-01;2;0,6 %;-04
Gültige Stimmen;325;99,1 %;+01;326;99,4 %;+04
SPD;71;21,8 %;-12;68;20,9 %;-18
AfD;160;49,2 %;+239;142;43,6 %;+159
CDU;62;19,1 %;-128;41;12,6 %;-124
GRÜNE/B 90;3;0,9 %;-24;3;0,9 %;-40
DIE LINKE;-;-;-95;8;2,5 %;-77
BVB / FREIE WÄHLER;28;8,6 %;+30;11;3,4 %;-12
FDP;1;0,3 %;-10;0;0,0 %;-23
Tierschutzpartei;-;-;-;3;0,9 %;-11
Plus;-;-;-;0;0,0 %;-07
BSW;-;-;-;48;14,7 %;+147
III. Weg;-;-;-;2;0,6 %;+06
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
