Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;665;-;-;665;-;-
Wählende;417;62,7 %;+66;417;62,7 %;+66
Ungültige Stimmen;9;2,2 %;-08;5;1,2 %;-04
Gültige Stimmen;408;97,8 %;+08;412;98,8 %;+04
SPD;103;25,2 %;-16;93;22,6 %;-22
AfD;205;50,2 %;+160;183;44,4 %;+109
CDU;65;15,9 %;-01;44;10,7 %;-57
GRÜNE/B 90;5;1,2 %;-32;4;1,0 %;-31
DIE LINKE;-;-;-69;11;2,7 %;-44
BVB / FREIE WÄHLER;27;6,6 %;-14;8;1,9 %;-46
FDP;3;0,7 %;-29;1;0,2 %;-41
Tierschutzpartei;-;-;-;6;1,5 %;-10
Plus;-;-;-;2;0,5 %;-01
BSW;-;-;-;55;13,3 %;+133
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;5;1,2 %;+12
WU;-;-;-;0;0,0 %;00
