Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.145;-;-;2.145;-;-
Wählende;1.042;48,6 %;+00;1.042;48,6 %;+00
Ungültige Stimmen;15;1,4 %;+01;8.0;0,8 %;-05
Gültige Stimmen;1.027;98,6 %;-01;1.034;99,2 %;+05
SPD;244;23,8 %;+104;226.0;21,9 %;+26
AfD;563;54,8 %;+173;526.0;50,9 %;+114
CDU;90;8,8 %;-201;74.0;7,2 %;-119
GRÜNE/B 90;6;0,6 %;-29;8.0;0,8 %;-22
DIE LINKE;32;3,1 %;-53;16.0;1,5 %;-64
BVB / FREIE WÄHLER;78;7,6 %;+24;32.0;3,1 %;+00
FDP;14;1,4 %;-19;1.0;0,1 %;-47
Tierschutzpartei;-;-;-;21.0;2,0 %;+03
Plus;-;-;-;7.0;0,7 %;-09
BSW;-;-;-;113.0;10,9 %;+109
III. Weg;-;-;-;3.0;0,3 %;+03
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;6.0;0,6 %;+06
WU;-;-;-;1.0;0,1 %;+01
