Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;39.327;-;-;39.327;-;-
Wählende;28.238;71,8 %;+98;28.238;71,8 %;+98
Ungültige Stimmen;338;1,2 %;-02;185;0,7 %;-05
Gültige Stimmen;27.900;98,8 %;+02;28.053;99,3 %;+05
SPD;9.362;33,6 %;+116;9.075;32,3 %;+83
AfD;9.653;34,6 %;+87;8.921;31,8 %;+49
CDU;4.509;16,2 %;-49;2.858;10,2 %;-56
GRÜNE/B 90;413;1,5 %;-59;910;3,2 %;-53
DIE LINKE;1.121;4,0 %;-81;756;2,7 %;-81
BVB / FREIE WÄHLER;1.118;4,0 %;-22;442;1,6 %;-25
FDP;369;1,3 %;-36;201;0,7 %;-50
Tierschutzpartei;-;-;-;457;1,6 %;-08
Plus;417;1,5 %;+15;275;1,0 %;-05
BSW;-;-;-;3.851;13,7 %;+137
III. Weg;-;-;-;47;0,2 %;+02
DKP;138;0,5 %;-00;41;0,1 %;+01
DLW;-;-;-;76;0,3 %;+03
WU;-;-;-;143;0,5 %;+05
Demokraten BB;800;2,9 %;+29;-;-;-
