Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;103;-;-;103;-;-
Wählende;52;50,5 %;-;52;50,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;52;100,0 %;-;52;100,0 %;-
SPD;21;40,4 %;-;16;30,8 %;-
AfD;15;28,8 %;-;14;26,9 %;-
CDU;14;26,9 %;-;14;26,9 %;-
GRÜNE/B 90;1;1,9 %;-;2;3,8 %;-
DIE LINKE;0;0,0 %;-;1;1,9 %;-
BVB / FREIE WÄHLER;1;1,9 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;3;5,8 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,9 %;-
WU;-;-;-;1;1,9 %;-
