Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;77;-;-;77;-;-
Wählende;36;46,8 %;-;36;46,8 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;36;100,0 %;-;36;100,0 %;-
SPD;10;27,8 %;-;8;22,2 %;-
AfD;14;38,9 %;-;15;41,7 %;-
CDU;7;19,4 %;-;4;11,1 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;3;8,3 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;0;0,0 %;-
FDP;2;5,6 %;-;2;5,6 %;-
Tierschutzpartei;-;-;-;2;5,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;5;13,9 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
