Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;494;-;-;494;-;-
Wählende;276;55,9 %;-;276;55,9 %;-
Ungültige Stimmen;6;2,2 %;-;2;0,7 %;-
Gültige Stimmen;270;97,8 %;-;274;99,3 %;-
SPD;69;25,6 %;-;63;23,0 %;-
AfD;116;43,0 %;-;121;44,2 %;-
CDU;50;18,5 %;-;37;13,5 %;-
GRÜNE/B 90;3;1,1 %;-;7;2,6 %;-
DIE LINKE;16;5,9 %;-;7;2,6 %;-
BVB / FREIE WÄHLER;6;2,2 %;-;5;1,8 %;-
FDP;4;1,5 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;2;0,7 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;26;9,5 %;-
III. Weg;6;2,2 %;-;2;0,7 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,7 %;-
WU;-;-;-;0;0,0 %;-
