Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;160;-;-;160;-;-
Wählende;85;53,1 %;-;85;53,1 %;-
Ungültige Stimmen;0;0,0 %;-;1;1,2 %;-
Gültige Stimmen;85;100,0 %;-;84;98,8 %;-
SPD;35;41,2 %;-;32;38,1 %;-
AfD;27;31,8 %;-;27;32,1 %;-
CDU;15;17,6 %;-;11;13,1 %;-
GRÜNE/B 90;0;0,0 %;-;2;2,4 %;-
DIE LINKE;3;3,5 %;-;1;1,2 %;-
BVB / FREIE WÄHLER;5;5,9 %;-;1;1,2 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;10;11,9 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
