Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;162;-;-;162;-;-
Wählende;100;61,7 %;-;100;61,7 %;-
Ungültige Stimmen;2;2,0 %;-;0;0,0 %;-
Gültige Stimmen;98;98,0 %;-;100;100,0 %;-
SPD;22;22,4 %;-;18;18,0 %;-
AfD;34;34,7 %;-;29;29,0 %;-
CDU;31;31,6 %;-;26;26,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;2,0 %;-;1;1,0 %;-
BVB / FREIE WÄHLER;8;8,2 %;-;6;6,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;19;19,0 %;-
III. Weg;1;1,0 %;-;1;1,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
