Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;606;-;-;606;-;-
Wählende;276;45,5 %;-;276;45,5 %;-
Ungültige Stimmen;7;2,5 %;-;6;2,2 %;-
Gültige Stimmen;269;97,5 %;-;270;97,8 %;-
SPD;100;37,2 %;-;88;32,6 %;-
AfD;109;40,5 %;-;103;38,1 %;-
CDU;19;7,1 %;-;22;8,1 %;-
GRÜNE/B 90;1;0,4 %;-;2;0,7 %;-
DIE LINKE;34;12,6 %;-;25;9,3 %;-
BVB / FREIE WÄHLER;6;2,2 %;-;1;0,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;0,7 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;26;9,6 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
