Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.176;-;-;1.176;-;-
Wählende;519;44,1 %;-;519.0;44,1 %;-
Ungültige Stimmen;9;1,7 %;-;5.0;1,0 %;-
Gültige Stimmen;510;98,3 %;-;514.0;99,0 %;-
SPD;153;30,0 %;-;141.0;27,4 %;-
AfD;218;42,7 %;-;218.0;42,4 %;-
CDU;55;10,8 %;-;46.0;8,9 %;-
GRÜNE/B 90;0;0,0 %;-;5.0;1,0 %;-
DIE LINKE;50;9,8 %;-;22.0;4,3 %;-
BVB / FREIE WÄHLER;27;5,3 %;-;4.0;0,8 %;-
FDP;6;1,2 %;-;4.0;0,8 %;-
Tierschutzpartei;-;-;-;6.0;1,2 %;-
Plus;-;-;-;3.0;0,6 %;-
BSW;-;-;-;61.0;11,9 %;-
III. Weg;1;0,2 %;-;1.0;0,2 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;2.0;0,4 %;-
