Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;850;-;-;850;-;-
Wählende;377;44,4 %;-;377;44,4 %;-
Ungültige Stimmen;5;1,3 %;-;6;1,6 %;-
Gültige Stimmen;372;98,7 %;-;371;98,4 %;-
SPD;112;30,1 %;-;123;33,2 %;-
AfD;152;40,9 %;-;137;36,9 %;-
CDU;66;17,7 %;-;46;12,4 %;-
GRÜNE/B 90;4;1,1 %;-;6;1,6 %;-
DIE LINKE;16;4,3 %;-;4;1,1 %;-
BVB / FREIE WÄHLER;18;4,8 %;-;4;1,1 %;-
FDP;2;0,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;2;0,5 %;-
Plus;-;-;-;4;1,1 %;-
BSW;-;-;-;44;11,9 %;-
III. Weg;2;0,5 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
