Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;236;-;-;236;-;-
Wählende;147;62,3 %;-;147;62,3 %;-
Ungültige Stimmen;3;2,0 %;-;1;0,7 %;-
Gültige Stimmen;144;98,0 %;-;146;99,3 %;-
SPD;25;17,4 %;-;24;16,4 %;-
AfD;82;56,9 %;-;84;57,5 %;-
CDU;18;12,5 %;-;16;11,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;7;4,9 %;-;5;3,4 %;-
BVB / FREIE WÄHLER;11;7,6 %;-;2;1,4 %;-
FDP;0;0,0 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;2;1,4 %;-
BSW;-;-;-;12;8,2 %;-
III. Weg;1;0,7 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
