Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;68;-;-;68;-;-
Wählende;53;77,9 %;+145;53;77,9 %;+145
Ungültige Stimmen;0;0,0 %;-17;0;0,0 %;-17
Gültige Stimmen;53;100,0 %;+17;53;100,0 %;+17
SPD;14;26,4 %;-32;19;35,8 %;+47
AfD;23;43,4 %;+152;24;45,3 %;+162
CDU;8;15,1 %;-47;4;7,5 %;-96
GRÜNE/B 90;0;0,0 %;-35;0;0,0 %;-35
DIE LINKE;0;0,0 %;-78;0;0,0 %;-52
BVB / FREIE WÄHLER;8;15,1 %;+72;1;1,9 %;-28
FDP;0;0,0 %;-32;0;0,0 %;-44
Tierschutzpartei;-;-;-;2;3,8 %;+06
Plus;-;-;-;0;0,0 %;-12
BSW;-;-;-;3;5,7 %;+57
III. Weg;0;0,0 %;00;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
