Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.439;-;-;1.439;-;-
Wählende;587;40,8 %;-;587.0;40,8 %;-
Ungültige Stimmen;10;1,7 %;-;9.0;1,5 %;-
Gültige Stimmen;577;98,3 %;-;578.0;98,5 %;-
SPD;173;30,0 %;-;157.0;27,2 %;-
AfD;226;39,2 %;-;206.0;35,6 %;-
CDU;91;15,8 %;-;76.0;13,1 %;-
GRÜNE/B 90;6;1,0 %;-;8.0;1,4 %;-
DIE LINKE;40;6,9 %;-;25.0;4,3 %;-
BVB / FREIE WÄHLER;32;5,5 %;-;11.0;1,9 %;-
FDP;2;0,3 %;-;2.0;0,3 %;-
Tierschutzpartei;-;-;-;10.0;1,7 %;-
Plus;-;-;-;2.0;0,3 %;-
BSW;-;-;-;71.0;12,3 %;-
III. Weg;7;1,2 %;-;6.0;1,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;3.0;0,5 %;-
WU;-;-;-;0.0;0,0 %;-
