Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;574;-;-;574;-;-
Wählende;327;57,0 %;-;327;57,0 %;-
Ungültige Stimmen;10;3,1 %;-;9;2,8 %;-
Gültige Stimmen;317;96,9 %;-;318;97,2 %;-
SPD;91;28,7 %;-;95;29,9 %;-
AfD;134;42,3 %;-;140;44,0 %;-
CDU;45;14,2 %;-;34;10,7 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;18;5,7 %;-;5;1,6 %;-
BVB / FREIE WÄHLER;21;6,6 %;-;21;6,6 %;-
FDP;2;0,6 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;1;0,3 %;-
Plus;1;0,3 %;-;0;0,0 %;-
BSW;-;-;-;20;6,3 %;-
III. Weg;2;0,6 %;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;3;0,9 %;-;-;-;-
