Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;213;-;-;213;-;-
Wählende;147;69,0 %;-;147;69,0 %;-
Ungültige Stimmen;3;2,0 %;-;4;2,7 %;-
Gültige Stimmen;144;98,0 %;-;143;97,3 %;-
SPD;34;23,6 %;-;40;28,0 %;-
AfD;54;37,5 %;-;47;32,9 %;-
CDU;30;20,8 %;-;24;16,8 %;-
GRÜNE/B 90;1;0,7 %;-;0;0,0 %;-
DIE LINKE;4;2,8 %;-;3;2,1 %;-
BVB / FREIE WÄHLER;19;13,2 %;-;11;7,7 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;2,1 %;-
Plus;0;0,0 %;-;1;0,7 %;-
BSW;-;-;-;14;9,8 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;1;0,7 %;-;-;-;-
