Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.348;-;-;1.348;-;-
Wählende;708;52,5 %;-;708;52,5 %;-
Ungültige Stimmen;10;1,4 %;-;7;1,0 %;-
Gültige Stimmen;698;98,6 %;-;701;99,0 %;-
SPD;272;39,0 %;-;257;36,7 %;-
AfD;226;32,4 %;-;207;29,5 %;-
CDU;110;15,8 %;-;103;14,7 %;-
GRÜNE/B 90;7;1,0 %;-;18;2,6 %;-
DIE LINKE;43;6,2 %;-;15;2,1 %;-
BVB / FREIE WÄHLER;22;3,2 %;-;8;1,1 %;-
FDP;5;0,7 %;-;5;0,7 %;-
Tierschutzpartei;-;-;-;10;1,4 %;-
Plus;1;0,1 %;-;1;0,1 %;-
BSW;-;-;-;68;9,7 %;-
III. Weg;2;0,3 %;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;-;-;-;4;0,6 %;-
WU;-;-;-;3;0,4 %;-
EB Mießner;10;1,4 %;-;-;-;-
