Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;134;-;-;134;-;-
Wählende;83;61,9 %;-;83;61,9 %;-
Ungültige Stimmen;1;1,2 %;-;1;1,2 %;-
Gültige Stimmen;82;98,8 %;-;82;98,8 %;-
SPD;11;13,4 %;-;16;19,5 %;-
AfD;36;43,9 %;-;39;47,6 %;-
CDU;26;31,7 %;-;14;17,1 %;-
GRÜNE/B 90;1;1,2 %;-;0;0,0 %;-
DIE LINKE;3;3,7 %;-;2;2,4 %;-
BVB / FREIE WÄHLER;4;4,9 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,2 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;10;12,2 %;-
III. Weg;1;1,2 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;0;0,0 %;-;-;-;-
