Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;858;-;-;858;-;-
Wählende;344;40,1 %;-;344;40,1 %;-
Ungültige Stimmen;5;1,5 %;-;4;1,2 %;-
Gültige Stimmen;339;98,5 %;-;340;98,8 %;-
SPD;58;17,1 %;-;62;18,2 %;-
AfD;186;54,9 %;-;179;52,6 %;-
CDU;58;17,1 %;-;34;10,0 %;-
GRÜNE/B 90;2;0,6 %;-;2;0,6 %;-
DIE LINKE;14;4,1 %;-;8;2,4 %;-
BVB / FREIE WÄHLER;6;1,8 %;-;4;1,2 %;-
FDP;1;0,3 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;7;2,1 %;-
Plus;5;1,5 %;-;1;0,3 %;-
BSW;-;-;-;36;10,6 %;-
III. Weg;3;0,9 %;-;4;1,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
EB Mießner;6;1,8 %;-;-;-;-
