Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;195;-;-;195;-;-
Wählende;126;64,6 %;-;126;64,6 %;-
Ungültige Stimmen;3;2,4 %;-;3;2,4 %;-
Gültige Stimmen;123;97,6 %;-;123;97,6 %;-
SPD;43;35,0 %;-;38;30,9 %;-
AfD;49;39,8 %;-;42;34,1 %;-
CDU;14;11,4 %;-;11;8,9 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,8 %;-
DIE LINKE;3;2,4 %;-;4;3,3 %;-
BVB / FREIE WÄHLER;5;4,1 %;-;1;0,8 %;-
FDP;1;0,8 %;-;2;1,6 %;-
Tierschutzpartei;-;-;-;2;1,6 %;-
Plus;3;2,4 %;-;2;1,6 %;-
BSW;-;-;-;19;15,4 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,8 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;5;4,1 %;-;-;-;-
