Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;102;-;-;102;-;-
Wählende;69;67,6 %;+140;69;67,6 %;+140
Ungültige Stimmen;2;2,9 %;+17;1;1,4 %;+03
Gültige Stimmen;67;97,1 %;-17;68;98,6 %;-03
SPD;26;38,8 %;+45;17;25,0 %;-76
AfD;19;28,4 %;+71;16;23,5 %;+13
CDU;13;19,4 %;+11;13;19,1 %;+30
GRÜNE/B 90;5;7,5 %;+10;13;19,1 %;+123
DIE LINKE;3;4,5 %;-56;1;1,5 %;-88
BVB / FREIE WÄHLER;0;0,0 %;-64;0;0,0 %;-45
FDP;0;0,0 %;-31;0;0,0 %;-45
Tierschutzpartei;-;-;-;2;2,9 %;+07
Plus;1;1,5 %;+15;0;0,0 %;-06
BSW;-;-;-;5;7,4 %;+74
III. Weg;0;0,0 %;00;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;1,5 %;+15
WU;-;-;-;0;0,0 %;00
EB Mießner;0;0,0 %;00;-;-;-
