Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.282;-;-;1.282;-;-
Wählende;510;39,8 %;-;510;39,8 %;-
Ungültige Stimmen;5;1,0 %;-;6;1,2 %;-
Gültige Stimmen;505;99,0 %;-;504;98,8 %;-
SPD;178;35,2 %;-;139;27,6 %;-
AfD;214;42,4 %;-;196;38,9 %;-
CDU;66;13,1 %;-;62;12,3 %;-
GRÜNE/B 90;5;1,0 %;-;12;2,4 %;-
DIE LINKE;19;3,8 %;-;13;2,6 %;-
BVB / FREIE WÄHLER;9;1,8 %;-;5;1,0 %;-
FDP;5;1,0 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;7;1,4 %;-
Plus;5;1,0 %;-;0;0,0 %;-
BSW;-;-;-;64;12,7 %;-
III. Weg;0;0,0 %;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;4;0,8 %;-;-;-;-
