Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;85;-;-;85;-;-
Wählende;59;69,4 %;-;59;69,4 %;-
Ungültige Stimmen;1;1,7 %;-;1;1,7 %;-
Gültige Stimmen;58;98,3 %;-;58;98,3 %;-
SPD;14;24,1 %;-;10;17,2 %;-
AfD;26;44,8 %;-;23;39,7 %;-
CDU;11;19,0 %;-;12;20,7 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;1,7 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;3,4 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;5,2 %;-
Plus;3;5,2 %;-;1;1,7 %;-
BSW;-;-;-;5;8,6 %;-
III. Weg;1;1,7 %;-;4;6,9 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;0;0,0 %;-;-;-;-
