Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;265;-;-;265;-;-
Wählende;126;47,5 %;-;126;47,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;126;100,0 %;-;126;100,0 %;-
SPD;34;27,0 %;-;26;20,6 %;-
AfD;73;57,9 %;-;67;53,2 %;-
CDU;8;6,3 %;-;6;4,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;1,6 %;-;2;1,6 %;-
BVB / FREIE WÄHLER;6;4,8 %;-;1;0,8 %;-
FDP;1;0,8 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;22;17,5 %;-
III. Weg;0;0,0 %;-;2;1,6 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;2;1,6 %;-;-;-;-
