Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;111;-;-;111;-;-
Wählende;66;59,5 %;-;66;59,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;66;100,0 %;-;66;100,0 %;-
SPD;19;28,8 %;-;14;21,2 %;-
AfD;38;57,6 %;-;37;56,1 %;-
CDU;3;4,5 %;-;4;6,1 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,5 %;-
DIE LINKE;6;9,1 %;-;5;7,6 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;4;6,1 %;-
III. Weg;0;0,0 %;-;1;1,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;0;0,0 %;-;-;-;-
