Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;343;-;-;343;-;-
Wählende;188;54,8 %;-;188;54,8 %;-
Ungültige Stimmen;3;1,6 %;-;2;1,1 %;-
Gültige Stimmen;185;98,4 %;-;186;98,9 %;-
SPD;47;25,4 %;-;46;24,7 %;-
AfD;80;43,2 %;-;78;41,9 %;-
CDU;21;11,4 %;-;12;6,5 %;-
GRÜNE/B 90;3;1,6 %;-;8;4,3 %;-
DIE LINKE;15;8,1 %;-;4;2,2 %;-
BVB / FREIE WÄHLER;14;7,6 %;-;11;5,9 %;-
FDP;4;2,2 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;2,2 %;-
Plus;-;-;-;1;0,5 %;-
BSW;-;-;-;20;10,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,5 %;-;2;1,1 %;-
WU;-;-;-;0;0,0 %;-
