Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;251;-;-;251;-;-
Wählende;137;54,6 %;-;137;54,6 %;-
Ungültige Stimmen;1;0,7 %;-;0;0,0 %;-
Gültige Stimmen;136;99,3 %;-;137;100,0 %;-
SPD;46;33,8 %;-;42;30,7 %;-
AfD;51;37,5 %;-;48;35,0 %;-
CDU;22;16,2 %;-;20;14,6 %;-
GRÜNE/B 90;2;1,5 %;-;6;4,4 %;-
DIE LINKE;5;3,7 %;-;3;2,2 %;-
BVB / FREIE WÄHLER;7;5,1 %;-;1;0,7 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;2,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;9,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;1,5 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
