Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.086;-;-;1.086;-;-
Wählende;504;46,4 %;-;504.0;46,4 %;-
Ungültige Stimmen;6;1,2 %;-;4.0;0,8 %;-
Gültige Stimmen;498;98,8 %;-;500.0;99,2 %;-
SPD;203;40,8 %;-;167.0;33,4 %;-
AfD;155;31,1 %;-;141.0;28,2 %;-
CDU;53;10,6 %;-;42.0;8,4 %;-
GRÜNE/B 90;15;3,0 %;-;36.0;7,2 %;-
DIE LINKE;34;6,8 %;-;20.0;4,0 %;-
BVB / FREIE WÄHLER;28;5,6 %;-;10.0;2,0 %;-
FDP;4;0,8 %;-;2.0;0,4 %;-
Tierschutzpartei;-;-;-;15.0;3,0 %;-
Plus;-;-;-;3.0;0,6 %;-
BSW;-;-;-;58.0;11,6 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;6;1,2 %;-;3.0;0,6 %;-
WU;-;-;-;1.0;0,2 %;-
