Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.095;-;-;1.095;-;-
Wählende;456;41,6 %;-;456.0;41,6 %;-
Ungültige Stimmen;4;0,9 %;-;1.0;0,2 %;-
Gültige Stimmen;452;99,1 %;-;455.0;99,8 %;-
SPD;200;44,2 %;-;180.0;39,6 %;-
AfD;131;29,0 %;-;113.0;24,8 %;-
CDU;57;12,6 %;-;44.0;9,7 %;-
GRÜNE/B 90;4;0,9 %;-;20.0;4,4 %;-
DIE LINKE;22;4,9 %;-;12.0;2,6 %;-
BVB / FREIE WÄHLER;31;6,9 %;-;12.0;2,6 %;-
FDP;3;0,7 %;-;3.0;0,7 %;-
Tierschutzpartei;-;-;-;9.0;2,0 %;-
Plus;-;-;-;2.0;0,4 %;-
BSW;-;-;-;59.0;13,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;4;0,9 %;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
