Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.046;-;-;1.046;-;-
Wählende;467;44,6 %;-;467.0;44,6 %;-
Ungültige Stimmen;13;2,8 %;-;9.0;1,9 %;-
Gültige Stimmen;454;97,2 %;-;458.0;98,1 %;-
SPD;172;37,9 %;-;157.0;34,3 %;-
AfD;183;40,3 %;-;167.0;36,5 %;-
CDU;40;8,8 %;-;41.0;9,0 %;-
GRÜNE/B 90;2;0,4 %;-;5.0;1,1 %;-
DIE LINKE;32;7,0 %;-;15.0;3,3 %;-
BVB / FREIE WÄHLER;20;4,4 %;-;8.0;1,7 %;-
FDP;2;0,4 %;-;3.0;0,7 %;-
Tierschutzpartei;-;-;-;6.0;1,3 %;-
Plus;-;-;-;5.0;1,1 %;-
BSW;-;-;-;48.0;10,5 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;3;0,7 %;-;2.0;0,4 %;-
WU;-;-;-;0.0;0,0 %;-
