Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;847;-;-;847;-;-
Wählende;466;55,0 %;-;466;55,0 %;-
Ungültige Stimmen;7;1,5 %;-;2;0,4 %;-
Gültige Stimmen;459;98,5 %;-;464;99,6 %;-
SPD;183;39,9 %;-;171;36,9 %;-
AfD;136;29,6 %;-;122;26,3 %;-
CDU;73;15,9 %;-;51;11,0 %;-
GRÜNE/B 90;8;1,7 %;-;22;4,7 %;-
DIE LINKE;34;7,4 %;-;19;4,1 %;-
BVB / FREIE WÄHLER;18;3,9 %;-;13;2,8 %;-
FDP;2;0,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;61;13,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;5;1,1 %;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
