Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;117;-;-;117;-;-
Wählende;61;52,1 %;-;61;52,1 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;61;100,0 %;-;61;100,0 %;-
SPD;17;27,9 %;-;8;13,1 %;-
AfD;28;45,9 %;-;25;41,0 %;-
CDU;4;6,6 %;-;5;8,2 %;-
GRÜNE/B 90;1;1,6 %;-;1;1,6 %;-
DIE LINKE;4;6,6 %;-;4;6,6 %;-
BVB / FREIE WÄHLER;5;8,2 %;-;3;4,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;18,0 %;-
III. Weg;-;-;-;1;1,6 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;3,3 %;-;1;1,6 %;-
WU;-;-;-;1;1,6 %;-
