Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;84;-;-;84;-;-
Wählende;52;61,9 %;-;52;61,9 %;-
Ungültige Stimmen;1;1,9 %;-;2;3,8 %;-
Gültige Stimmen;51;98,1 %;-;50;96,2 %;-
SPD;16;31,4 %;-;14;28,0 %;-
AfD;23;45,1 %;-;24;48,0 %;-
CDU;3;5,9 %;-;2;4,0 %;-
GRÜNE/B 90;0;0,0 %;-;2;4,0 %;-
DIE LINKE;1;2,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;6;11,8 %;-;1;2,0 %;-
FDP;1;2,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;12,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;2,0 %;-;1;2,0 %;-
WU;-;-;-;0;0,0 %;-
