Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;162;-;-;162;-;-
Wählende;101;62,3 %;-;101;62,3 %;-
Ungültige Stimmen;1;1,0 %;-;0;0,0 %;-
Gültige Stimmen;100;99,0 %;-;101;100,0 %;-
SPD;35;35,0 %;-;29;28,7 %;-
AfD;36;36,0 %;-;35;34,7 %;-
CDU;16;16,0 %;-;15;14,9 %;-
GRÜNE/B 90;2;2,0 %;-;5;5,0 %;-
DIE LINKE;3;3,0 %;-;1;1,0 %;-
BVB / FREIE WÄHLER;6;6,0 %;-;2;2,0 %;-
FDP;2;2,0 %;-;2;2,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;10,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
