Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;97;-;-;97;-;-
Wählende;64;66,0 %;-;64;66,0 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;64;100,0 %;-;64;100,0 %;-
SPD;17;26,6 %;-;15;23,4 %;-
AfD;23;35,9 %;-;21;32,8 %;-
CDU;14;21,9 %;-;17;26,6 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;1,6 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;6;9,4 %;-;3;4,7 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;9,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;3;4,7 %;-;0;0,0 %;-
WU;-;-;-;2;3,1 %;-
