Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;123;-;-;123;-;-
Wählende;84;68,3 %;-;84;68,3 %;-
Ungültige Stimmen;1;1,2 %;-;1;1,2 %;-
Gültige Stimmen;83;98,8 %;-;83;98,8 %;-
SPD;27;32,5 %;-;17;20,5 %;-
AfD;32;38,6 %;-;33;39,8 %;-
CDU;14;16,9 %;-;10;12,0 %;-
GRÜNE/B 90;0;0,0 %;-;5;6,0 %;-
DIE LINKE;2;2,4 %;-;4;4,8 %;-
BVB / FREIE WÄHLER;7;8,4 %;-;3;3,6 %;-
FDP;0;0,0 %;-;1;1,2 %;-
Tierschutzpartei;-;-;-;1;1,2 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;9;10,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;1,2 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
