Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;145;-;-;145;-;-
Wählende;87;60,0 %;-;87;60,0 %;-
Ungültige Stimmen;1;1,1 %;-;3;3,4 %;-
Gültige Stimmen;86;98,9 %;-;84;96,6 %;-
SPD;23;26,7 %;-;22;26,2 %;-
AfD;53;61,6 %;-;49;58,3 %;-
CDU;6;7,0 %;-;6;7,1 %;-
GRÜNE/B 90;1;1,2 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;1;1,2 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;1;1,2 %;-
FDP;1;1,2 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;5;6,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;2,3 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
