Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.228;-;-;1.228;-;-
Wählende;614;50,0 %;-;614.0;50,0 %;-
Ungültige Stimmen;8;1,3 %;-;5.0;0,8 %;-
Gültige Stimmen;606;98,7 %;-;609.0;99,2 %;-
SPD;216;35,6 %;-;185.0;30,4 %;-
AfD;242;39,9 %;-;221.0;36,3 %;-
CDU;80;13,2 %;-;61.0;10,0 %;-
GRÜNE/B 90;6;1,0 %;-;15.0;2,5 %;-
DIE LINKE;14;2,3 %;-;8.0;1,3 %;-
BVB / FREIE WÄHLER;24;4,0 %;-;15.0;2,5 %;-
FDP;8;1,3 %;-;3.0;0,5 %;-
Tierschutzpartei;-;-;-;16.0;2,6 %;-
Plus;-;-;-;3.0;0,5 %;-
BSW;-;-;-;77.0;12,6 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;16;2,6 %;-;2.0;0,3 %;-
WU;-;-;-;3.0;0,5 %;-
