Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;593;-;-;593;-;-
Wählende;314;53,0 %;+102;314;53,0 %;+102
Ungültige Stimmen;2;0,6 %;-13;2;0,6 %;-09
Gültige Stimmen;312;99,4 %;+13;312;99,4 %;+09
SPD;108;34,6 %;+57;100;32,1 %;+25
AfD;125;40,1 %;+108;112;35,9 %;+71
CDU;38;12,2 %;-27;32;10,3 %;-34
GRÜNE/B 90;3;1,0 %;-72;7;2,2 %;-90
DIE LINKE;13;4,2 %;-103;4;1,3 %;-88
BVB / FREIE WÄHLER;9;2,9 %;+09;5;1,6 %;+00
FDP;3;1,0 %;-14;3;1,0 %;-02
Tierschutzpartei;-;-;-;3;1,0 %;-25
Plus;-;-;-;4;1,3 %;+09
BSW;-;-;-;36;11,5 %;+115
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;13;4,2 %;+42;5;1,6 %;+16
WU;-;-;-;1;0,3 %;+03
