Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;182;-;-;182;-;-
Wählende;93;51,1 %;-07;93;51,1 %;-07
Ungültige Stimmen;1;1,1 %;-02;0;0,0 %;-05
Gültige Stimmen;92;98,9 %;+02;93;100,0 %;+05
SPD;34;37,0 %;+122;33;35,5 %;+111
AfD;28;30,4 %;+27;29;31,2 %;+47
CDU;11;12,0 %;-102;10;10,8 %;-110
GRÜNE/B 90;5;5,4 %;-17;4;4,3 %;-36
DIE LINKE;8;8,7 %;-42;3;3,2 %;-83
BVB / FREIE WÄHLER;2;2,2 %;-07;1;1,1 %;-10
FDP;0;0,0 %;-24;0;0,0 %;-24
Tierschutzpartei;-;-;-;3;3,2 %;-02
Plus;-;-;-;0;0,0 %;-03
BSW;-;-;-;10;10,8 %;+108
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;4;4,3 %;+43;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
